"subplot_id","species_richness","shannon_diversity","simpson_diversity","pielou_evenness","exp_shannon","inv_simpson","site","CV","CV_rf","SV","CHV","CHV_nopca","image_type","year"
"1_1",8,1.53664989748816,0.65625,0.7389723955629,4.64898956198259,1.52380952380952,"NSABHC0009",0.321648927,0.406832415,0.044998905,7.12e-08,0.000444847,"unmasked",2016
"1_1",8,1.53664989748816,0.65625,0.7389723955629,4.64898956198259,1.52380952380952,"NSABHC0009",0.241106598,0.301477297,0.017472864,1.42e-07,0.000301851,"masked",2016
"1_2",14,2.3979365438641,0.884615384615385,0.908633744691589,11.0004539910913,1.1304347826087,"NSABHC0009",0.326376201,0.409687422,0.030415812,6.71e-08,0.000450834,"unmasked",2016
"1_2",14,2.3979365438641,0.884615384615385,0.908633744691589,11.0004539910913,1.1304347826087,"NSABHC0009",0.236186624,0.295164859,0.012134152,1.25e-07,0.000290118,"masked",2016
"1_3",14,2.49800275708586,0.9056,0.946551152585243,12.1581868426536,1.10424028268551,"NSABHC0009",0.320349349,0.383100555,0.026959924,5.56e-08,0.000243366,"unmasked",2016
"1_3",14,2.49800275708586,0.9056,0.946551152585243,12.1581868426536,1.10424028268551,"NSABHC0009",0.224423478,0.280616547,0.009508761,9.82e-08,0.000150213,"masked",2016
"1_4",19,2.65856986252183,0.899691358024691,0.902912195271393,14.2758580529232,1.1114922813036,"NSABHC0009",0.27130168,0.326518478,0.014517338,4.39e-08,0.000293161,"unmasked",2016
"1_4",19,2.65856986252183,0.899691358024691,0.902912195271393,14.2758580529232,1.1114922813036,"NSABHC0009",0.220808484,0.275927264,0.008866412,8.78e-08,0.00019427,"masked",2016
"1_5",15,2.57495151873125,0.914600550964187,0.950850733004586,13.1306805510057,1.0933734939759,"NSABHC0009",0.300021021,0.34414103,0.024863485,5.92e-08,0.000394957,"unmasked",2016
"1_5",15,2.57495151873125,0.914600550964187,0.950850733004586,13.1306805510057,1.0933734939759,"NSABHC0009",0.247140833,0.308901765,0.014100689,1.19e-07,0.000258348,"masked",2016
"2_1",5,1.46813993901621,0.743801652892562,0.912206632932989,4.34115281760506,1.34444444444444,"NSABHC0009",0.323227258,0.41281753,0.049319754,1.04e-07,0.000901869,"unmasked",2016
"2_1",5,1.46813993901621,0.743801652892562,0.912206632932989,4.34115281760506,1.34444444444444,"NSABHC0009",0.268590698,0.335815698,0.019511386,1.8e-07,0.000528914,"masked",2016
"2_2",17,2.61579431610105,0.911614317019722,0.923260622638501,13.6780767806447,1.09695512820513,"NSABHC0009",0.32301505,0.405720351,0.023634818,5.16e-08,0.000389788,"unmasked",2016
"2_2",17,2.61579431610105,0.911614317019722,0.923260622638501,13.6780767806447,1.09695512820513,"NSABHC0009",0.227274862,0.284194329,0.009320016,9.05e-08,0.000234384,"masked",2016
"2_3",16,2.49577921720071,0.89554419284149,0.900162074952302,12.1311826628393,1.11663947797716,"NSABHC0009",0.249958708,0.2965474,0.011207198,7.07e-08,0.000552999,"unmasked",2016
"2_3",16,2.49577921720071,0.89554419284149,0.900162074952302,12.1311826628393,1.11663947797716,"NSABHC0009",0.207553293,0.259271344,0.007379271,1.31e-07,0.000313873,"masked",2016
"2_4",14,2.27060953331103,0.859410430839002,0.860386588737749,9.68530252976321,1.16358839050132,"NSABHC0009",0.193891058,0.204357314,0.006484496,2.83e-08,0.000166588,"unmasked",2016
"2_4",14,2.27060953331103,0.859410430839002,0.860386588737749,9.68530252976321,1.16358839050132,"NSABHC0009",0.179860934,0.224795526,0.005620136,5.66e-08,0.000112895,"masked",2016
"2_5",11,2.20863927851337,0.873345935727788,0.921074120111953,9.10332087721323,1.14502164502165,"NSABHC0009",0.296644384,0.352363109,0.023246939,6.78e-08,0.00048249,"unmasked",2016
"2_5",11,2.20863927851337,0.873345935727788,0.921074120111953,9.10332087721323,1.14502164502165,"NSABHC0009",0.245656425,0.307088424,0.014058313,1.4e-07,0.000341396,"masked",2016
"3_1",4,1.33217904021012,0.72,0.960964047443681,3.789291416276,1.38888888888889,"NSABHC0009",0.232096671,0.280325853,0.031809383,5.59e-08,0.000402376,"unmasked",2016
"3_1",4,1.33217904021012,0.72,0.960964047443681,3.789291416276,1.38888888888889,"NSABHC0009",0.218166756,0.27277108,0.016280593,1.06e-07,0.000275158,"masked",2016
"3_2",16,2.55036234424845,0.904844290657439,0.919848776629297,12.8117452039033,1.10516252390057,"NSABHC0009",0.246913782,0.309990941,0.012607088,4.22e-08,0.000289959,"unmasked",2016
"3_2",16,2.55036234424845,0.904844290657439,0.919848776629297,12.8117452039033,1.10516252390057,"NSABHC0009",0.195870712,0.244829587,0.007634159,9.07e-08,0.0002089,"masked",2016
"3_3",11,2.06521162570945,0.8288,0.861260143066766,7.88696680600241,1.20656370656371,"NSABHC0009",0.226965058,0.266087217,0.010986008,8.24e-08,0.000617945,"unmasked",2016
"3_3",11,2.06521162570945,0.8288,0.861260143066766,7.88696680600241,1.20656370656371,"NSABHC0009",0.19006601,0.23758771,0.007246283,1.35e-07,0.000300672,"masked",2016
"3_4",12,2.21746506106769,0.861340679522498,0.892373587256035,9.18402040219127,1.16098081023454,"NSABHC0009",0.231177899,0.266432911,0.010224164,9.32e-08,0.001017658,"unmasked",2016
"3_4",12,2.21746506106769,0.861340679522498,0.892373587256035,9.18402040219127,1.16098081023454,"NSABHC0009",0.186779223,0.233387657,0.006411529,1.54e-07,0.000465426,"masked",2016
"3_5",10,2.1081697690535,0.855,0.91556649761519,8.23315890450298,1.16959064327485,"NSABHC0009",0.247204576,0.291721099,0.015562823,4.28e-08,0.000269981,"unmasked",2016
"3_5",10,2.1081697690535,0.855,0.91556649761519,8.23315890450298,1.16959064327485,"NSABHC0009",0.219492495,0.274313866,0.011448592,8.77e-08,0.000190101,"masked",2016
"4_1",13,2.44166056533043,0.90249433106576,0.951933245086321,11.4921083035706,1.10804020100503,"NSABHC0009",0.282894242,0.339751341,0.027567543,9.28e-08,0.000690635,"unmasked",2016
"4_1",13,2.44166056533043,0.90249433106576,0.951933245086321,11.4921083035706,1.10804020100503,"NSABHC0009",0.236293795,0.295367676,0.01316299,1.44e-07,0.000322581,"masked",2016
"4_2",12,2.35946568748707,0.893424036281179,0.949518843167958,10.5852940860843,1.11928934010152,"NSABHC0009",0.331064398,0.384156704,0.025283573,4.07e-08,0.000261254,"unmasked",2016
"4_2",12,2.35946568748707,0.893424036281179,0.949518843167958,10.5852940860843,1.11928934010152,"NSABHC0009",0.219899362,0.274924148,0.008476373,7.09e-08,0.00015977,"masked",2016
"4_3",10,1.94365986469901,0.820301783264746,0.844120753935599,6.98426571944811,1.2190635451505,"NSABHC0009",0.274403795,0.310700437,0.015218468,7.9e-08,0.000545691,"unmasked",2016
"4_3",10,1.94365986469901,0.820301783264746,0.844120753935599,6.98426571944811,1.2190635451505,"NSABHC0009",0.205875547,0.257380372,0.007561527,1.37e-07,0.000302742,"masked",2016
"4_4",7,1.69240886298655,0.769230769230769,0.869726109300663,5.43255122783702,1.3,"NSABHC0009",0.282303328,0.337695743,0.017112016,8.76e-08,0.000754773,"unmasked",2016
